"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"EXT","Header_2x9_100mil_Vertical","-41.84mm","-30.73mm","-52mm","-29.46mm","-52mm","-32mm","T","360.00","Header 2x9 compact"
"POWER2","Screw_Terminal_1x2_3.5mm_Vertical","-59.91mm","-29.515mm","-59.91mm","-27.745mm","-59.91mm","-27.745mm","T","270.00","Header 1x2"
"5V IN","Screw_Terminal_1x2_5.08mm_Vertical","-64.01mm","-29.585mm","-64.01mm","-27.045mm","-64.01mm","-27.045mm","T","270.00","Header 1x2"
"RO17","RES_0402/1005_RF","-16.86mm","-34.92mm","-16.86mm","-34.92mm","-17.31mm","-34.92mm","B","360.00","Resistor"
"RO16","RES_0402/1005_RF","-16.86mm","-32.38mm","-16.86mm","-32.38mm","-17.31mm","-32.38mm","B","360.00","Resistor"
"RO15","RES_0402/1005_RF","-16.86mm","-29.84mm","-16.86mm","-29.84mm","-17.31mm","-29.84mm","B","360.00","Resistor"
"RO14","RES_0402/1005_RF","-16.86mm","-27.3mm","-16.86mm","-27.3mm","-17.31mm","-27.3mm","B","360.00","Resistor"
"RO13","RES_0402/1005_RF","-16.86mm","-24.76mm","-16.86mm","-24.76mm","-17.31mm","-24.76mm","B","360.00","Resistor"
"RO12","RES_0402/1005_RF","-16.86mm","-22.22mm","-16.86mm","-22.22mm","-17.31mm","-22.22mm","B","360.00","Resistor"
"RO11","RES_0402/1005_RF","-16.86mm","-19.68mm","-16.86mm","-19.68mm","-17.31mm","-19.68mm","B","360.00","Resistor"
"RO10","RES_0402/1005_RF","-16.86mm","-17.14mm","-16.86mm","-17.14mm","-17.31mm","-17.14mm","B","360.00","Resistor"
"RO9","RES_0402/1005_RF","-16.86mm","-14.6mm","-16.86mm","-14.6mm","-17.31mm","-14.6mm","B","360.00","Resistor"
"RO8","RES_0402/1005_RF","-16.86mm","-12.06mm","-16.86mm","-12.06mm","-17.31mm","-12.06mm","B","360.00","Resistor"
"RO7","RES_0402/1005_RF","-16.86mm","-9.52mm","-16.86mm","-9.52mm","-17.31mm","-9.52mm","B","360.00","Resistor"
"RO6","RES_0402/1005_RF","-16.86mm","-6.98mm","-16.86mm","-6.98mm","-17.31mm","-6.98mm","B","360.00","Resistor"
"RO5","RES_0402/1005_RF","-16.86mm","-4.44mm","-16.86mm","-4.44mm","-17.31mm","-4.44mm","B","360.00","Resistor"
"RO4","RES_0402/1005_RF","-16.86mm","-1.9mm","-16.86mm","-1.9mm","-17.31mm","-1.9mm","B","360.00","Resistor"
"RO3","RES_0402/1005_RF","-16.86mm","0.64mm","-16.86mm","0.64mm","-17.31mm","0.64mm","B","360.00","Resistor"
"U17","SOT65P210X110-6N","-10.795mm","-35.56mm","-10.795mm","-35.56mm","-9.845mm","-34.91mm","B","180.00","SN74LVC1T45"
"CB17","CAP_0402/1005_RF","-14.22mm","-34.925mm","-14.22mm","-34.925mm","-14.68mm","-34.925mm","B","360.00","Capacitor"
"CA17","CAP_0402/1005_RF","-7.561mm","-34.925mm","-7.561mm","-34.925mm","-7.101mm","-34.925mm","B","180.00","Capacitor"
"U16","SOT65P210X110-6N","-10.795mm","-33.02mm","-10.795mm","-33.02mm","-9.845mm","-32.37mm","B","180.00","SN74LVC1T45"
"CB16","CAP_0402/1005_RF","-14.22mm","-32.385mm","-14.22mm","-32.385mm","-14.68mm","-32.385mm","B","360.00","Capacitor"
"CA16","CAP_0402/1005_RF","-7.561mm","-32.385mm","-7.561mm","-32.385mm","-7.101mm","-32.385mm","B","180.00","Capacitor"
"U15","SOT65P210X110-6N","-10.795mm","-30.48mm","-10.795mm","-30.48mm","-9.845mm","-29.83mm","B","180.00","SN74LVC1T45"
"CB15","CAP_0402/1005_RF","-14.22mm","-29.845mm","-14.22mm","-29.845mm","-14.68mm","-29.845mm","B","360.00","Capacitor"
"CA15","CAP_0402/1005_RF","-7.561mm","-29.845mm","-7.561mm","-29.845mm","-7.101mm","-29.845mm","B","180.00","Capacitor"
"U14","SOT65P210X110-6N","-10.795mm","-27.94mm","-10.795mm","-27.94mm","-9.845mm","-27.29mm","B","180.00","SN74LVC1T45"
"CB14","CAP_0402/1005_RF","-14.22mm","-27.305mm","-14.22mm","-27.305mm","-14.68mm","-27.305mm","B","360.00","Capacitor"
"CA14","CAP_0402/1005_RF","-7.561mm","-27.305mm","-7.561mm","-27.305mm","-7.101mm","-27.305mm","B","180.00","Capacitor"
"U13","SOT65P210X110-6N","-10.795mm","-25.4mm","-10.795mm","-25.4mm","-9.845mm","-24.75mm","B","180.00","SN74LVC1T45"
"CB13","CAP_0402/1005_RF","-14.22mm","-24.765mm","-14.22mm","-24.765mm","-14.68mm","-24.765mm","B","360.00","Capacitor"
"CA13","CAP_0402/1005_RF","-7.561mm","-24.765mm","-7.561mm","-24.765mm","-7.101mm","-24.765mm","B","180.00","Capacitor"
"U12","SOT65P210X110-6N","-10.795mm","-22.86mm","-10.795mm","-22.86mm","-9.845mm","-22.21mm","B","180.00","SN74LVC1T45"
"CB12","CAP_0402/1005_RF","-14.22mm","-22.225mm","-14.22mm","-22.225mm","-14.68mm","-22.225mm","B","360.00","Capacitor"
"CA12","CAP_0402/1005_RF","-7.561mm","-22.225mm","-7.561mm","-22.225mm","-7.101mm","-22.225mm","B","180.00","Capacitor"
